"Date","Close","% Change","% Change vs Average","Volume"
"2014-06-30T21:00:00.000Z","1,930.67","-1.51","-2.34","66,524,690,000"
"2014-07-31T21:00:00.000Z","2,003.37","3.77","2.93","58,131,140,000"
"2014-08-31T21:00:00.000Z","1,972.29","-1.55","-2.38","66,706,000,000"
"2014-09-30T21:00:00.000Z","2,018.05","2.32","1.49","93,714,040,000"
"2014-10-31T22:00:00.000Z","2,067.56","2.45","1.62","63,600,190,000"
"2014-11-30T22:00:00.000Z","2,058.90","-0.42","-1.25","80,743,820,000"
"2014-12-31T22:00:00.000Z","1,994.99","-3.10","-3.94","77,330,040,000"
"2015-01-31T22:00:00.000Z","2,104.50","5.49","4.66","68,775,560,000"
"2015-02-28T22:00:00.000Z","2,067.89","-1.74","-2.57","76,675,850,000"
"2015-03-31T21:00:00.000Z","2,085.51","0.85","0.02","72,060,940,000"
"2015-04-30T21:00:00.000Z","2,107.39","1.05","0.22","65,187,730,000"
"2015-05-31T21:00:00.000Z","2,063.11","-2.10","-2.93","73,213,980,000"
"2015-06-30T21:00:00.000Z","2,103.84","1.97","1.14","77,920,590,000"
"2015-07-31T21:00:00.000Z","1,972.18","-6.26","-7.09","84,626,790,000"
"2015-08-31T21:00:00.000Z","1,920.03","-2.64","-3.48","79,989,370,000"
"2015-09-30T21:00:00.000Z","2,079.36","8.30","7.47","85,844,900,000"
"2015-10-31T22:00:00.000Z","2,080.41","0.05","-0.78","75,943,590,000"
"2015-11-30T22:00:00.000Z","2,043.94","-1.75","-2.58","83,649,260,000"
"2015-12-31T22:00:00.000Z","1,940.24","-5.07","-5.91","92,409,770,000"
"2016-01-31T22:00:00.000Z","1,932.23","-0.41","-1.24","93,049,560,000"
"2016-02-29T22:00:00.000Z","2,059.74","6.60","5.77","92,639,420,000"
"2016-03-31T21:00:00.000Z","2,065.30","0.27","-0.56","81,124,990,000"
"2016-04-30T21:00:00.000Z","2,096.95","1.53","0.70","78,883,600,000"
"2016-05-31T21:00:00.000Z","2,098.86","0.09","-0.74","86,852,700,000"
"2016-06-30T21:00:00.000Z","2,173.60","3.56","2.73","69,530,250,000"
